eventID,measurementType,measurementValue,measurementUnit
VIS_23280,length,8.0,cm
VIS_23280,sampling distance,100.0,meter
VIS_23280,weight,6.90,g
VIS_23281,length,9.1,cm
VIS_23281,sampling distance,100.0,meter
VIS_23281,weight,9.90,g
VIS_23282,length,8.4,cm
VIS_23282,sampling distance,100.0,meter
VIS_23282,weight,7.90,g
VIS_23283,length,9.0,cm
VIS_23283,sampling distance,100.0,meter
VIS_23283,weight,9.10,g
VIS_23284,sampling distance,100.0,meter
VIS_23284,weight,161.00,g
VIS_2349,length,4.5,cm
VIS_2349,sampling distance,75.0,meter
VIS_2349,weight,1.00,g
VIS_2350,length,5.8,cm
VIS_2350,sampling distance,75.0,meter
VIS_2350,weight,2.40,g
VIS_2351,length,6.4,cm
VIS_2351,sampling distance,75.0,meter
VIS_2351,weight,2.60,g
VIS_2352,length,6.0,cm
VIS_2352,sampling distance,30.0,meter
VIS_2352,weight,1.70,g
VIS_2353,length,6.1,cm
VIS_2353,sampling distance,30.0,meter
VIS_2353,weight,2.30,g
VIS_2354,length,5.8,cm
VIS_2354,sampling distance,30.0,meter
VIS_2354,weight,1.70,g
VIS_2355,length,5.0,cm
VIS_2355,sampling distance,75.0,meter
VIS_2355,weight,2.00,g
VIS_2356,length,6.0,cm
VIS_2356,sampling distance,75.0,meter
VIS_2356,weight,3.20,g
VIS_2357,length,5.8,cm
VIS_2357,sampling distance,75.0,meter
VIS_2357,weight,2.30,g
VIS_2358,length,5.8,cm
VIS_2358,sampling distance,75.0,meter
VIS_2358,weight,3.00,g
VIS_2359,length,6.0,cm
VIS_2359,sampling distance,75.0,meter
VIS_2359,weight,2.40,g
VIS_2360,length,6.8,cm
VIS_2360,sampling distance,75.0,meter
VIS_2360,weight,4.10,g
VIS_2361,length,6.1,cm
VIS_2361,sampling distance,75.0,meter
VIS_2361,weight,1.80,g
VIS_2362,length,5.4,cm
VIS_2362,sampling distance,75.0,meter
VIS_2362,weight,2.80,g
VIS_2363,length,6.1,cm
VIS_2363,sampling distance,75.0,meter
VIS_2363,weight,2.50,g
VIS_2364,length,6.1,cm
VIS_2364,sampling distance,75.0,meter
VIS_2364,weight,2.90,g
VIS_2365,length,6.4,cm
VIS_2365,sampling distance,75.0,meter
VIS_2365,weight,2.80,g
VIS_2366,length,1.0,cm
VIS_2366,sampling distance,75.0,meter
VIS_2366,weight,0.10,g
VIS_2367,length,6.5,cm
VIS_2367,sampling distance,75.0,meter
VIS_2367,weight,4.30,g
VIS_2368,length,6.0,cm
VIS_2368,sampling distance,75.0,meter
VIS_2368,weight,2.80,g
VIS_2369,length,5.0,cm
VIS_2369,sampling distance,75.0,meter
VIS_2369,weight,1.70,g
